sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.position,source.position
"sim_T0.20s_d0.1_s[9.0,7.0,1.0]_m[7.0,6.0,1.0]",HT,155.556,157.127,8e-05,"[0.0, 158.27, 158.27, 154.84]",0.2,0.1,"[9, 7, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",Classic,19.654,26.47,0.00143,"[0.0, 30.96, 26.72, 21.73]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",ROTH,19.654,24.807,0.00082,"[0.0, 30.96, 21.73, 21.73]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",PHAT,19.654,24.807,0.00082,"[0.0, 30.96, 21.73, 21.73]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",SCOT,19.654,24.807,0.00082,"[0.0, 30.96, 21.73, 21.73]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",ECKART,19.654,38.697,0.01119,"[0.0, 44.39, 38.18, 33.52]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[9.0,8.0,1.0]",HT,19.654,24.807,0.00082,"[0.0, 30.96, 21.73, 21.73]",0.2,0.1,"[6, 9, 1]","[9, 8, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",Classic,106.699,103.79,0.00026,"[0.0, 106.61, 102.38, 102.38]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",ROTH,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",PHAT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",SCOT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",ECKART,106.699,103.327,0.00035,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,5.0,1.0]",HT,106.699,104.957,9e-05,"[0.0, 106.61, 104.48, 103.78]",0.2,0.1,"[6, 9, 1]","[5, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",Classic,103.496,100.757,0.00023,"[0.0, 102.38, 100.29, 99.6]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",ROTH,103.496,103.327,0.0,"[0.0, 106.61, 102.38, 100.99]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",PHAT,103.496,101.917,8e-05,"[0.0, 102.38, 102.38, 100.99]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",SCOT,103.496,101.917,8e-05,"[0.0, 102.38, 102.38, 100.99]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",ECKART,103.496,100.297,0.00032,"[0.0, 102.38, 100.29, 98.22]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[5.0,4.0,1.0]",HT,103.496,101.917,8e-05,"[0.0, 102.38, 102.38, 100.99]",0.2,0.1,"[6, 9, 1]","[5, 4, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",Classic,78.69,78.54,0.0,"[0.0, 81.78, 77.62, 76.22]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",ROTH,78.69,78.54,0.0,"[0.0, 81.78, 77.62, 76.22]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",PHAT,78.69,78.07,1e-05,"[0.0, 81.78, 77.62, 74.81]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",SCOT,78.69,78.07,1e-05,"[0.0, 81.78, 77.62, 74.81]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",ECKART,78.69,79.703,3e-05,"[0.0, 81.78, 79.71, 77.62]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,5.0,1.0]",HT,78.69,78.54,0.0,"[0.0, 81.78, 77.62, 76.22]",0.2,0.1,"[6, 9, 1]","[7, 5, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,6.0,1.0]",Classic,75.069,74.323,2e-05,"[0.0, 77.62, 73.39, 71.96]",0.2,0.1,"[6, 9, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,6.0,1.0]",ROTH,75.069,71.717,0.00035,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 9, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,6.0,1.0]",PHAT,75.069,71.717,0.00035,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 9, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,6.0,1.0]",SCOT,75.069,71.717,0.00035,"[0.0, 73.39, 71.24, 70.52]",0.2,0.1,"[6, 9, 1]","[7, 6, 1]"
"sim_T0.20s_d0.1_s[6.0,9.0,1.0]_m[7.0,6.0,1.0]",ECKART,75.069,75.983,3e-05,"[0.0, 77.62, 75.52, 74.81]",0.2,0.1,"[6, 9, 1]","[7, 6, 1]"
