,sim_name,method,expected_theta,theta_prom,error,est_theta_list,room.t60,mic_array.d,mic_array.n,mic_array.position,source.position
87,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",SCOT,61.189,56.178,0.00077,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13, 53.45]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
88,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",ECKART,61.189,62.17,3e-05,"[0.0, 69.07, 64.61, 61.55, 61.16, 59.04, 57.59]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
89,"sim_T0.20s_d0.1_n7_s[5.0,2.0,1.0]_m[7.0,5.0,1.0,]",HT,61.189,56.178,0.00077,"[0.0, 59.99, 57.59, 56.78, 55.13, 54.13, 53.45]",0.2,0.1,7,"[5, 2, 1]","[7, 5, 1]"
90,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",Classic,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
91,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ROTH,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
92,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",PHAT,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
93,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",SCOT,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
94,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ECKART,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
95,"sim_T0.20s_d0.1_n3_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",HT,88.772,93.075,0.00057,"[0.0, 94.1, 92.05]",0.2,0.1,3,"[5, 2, 1]","[5, 9, 1]"
96,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",Classic,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
97,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ROTH,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
98,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",PHAT,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
99,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",SCOT,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
100,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ECKART,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
101,"sim_T0.20s_d0.1_n4_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",HT,88.363,92.05,0.00042,"[0.0, 94.1, 92.05, 90.0]",0.2,0.1,4,"[5, 2, 1]","[5, 9, 1]"
102,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",Classic,87.955,91.538,0.0004,"[0.0, 94.1, 92.05, 90.0, 90.0]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
103,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ROTH,87.955,91.538,0.0004,"[0.0, 94.1, 92.05, 90.0, 90.0]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
104,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",PHAT,87.955,91.538,0.0004,"[0.0, 94.1, 92.05, 90.0, 90.0]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
105,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",SCOT,87.955,91.538,0.0004,"[0.0, 94.1, 92.05, 90.0, 90.0]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
106,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",ECKART,87.955,91.282,0.00034,"[0.0, 94.1, 92.05, 90.0, 88.98]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
107,"sim_T0.20s_d0.1_n5_s[5.0,2.0,1.0]_m[5.0,9.0,1.0,]",HT,87.955,91.538,0.0004,"[0.0, 94.1, 92.05, 90.0, 90.0]",0.2,0.1,5,"[5, 2, 1]","[5, 9, 1]"
